"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Editors","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Bai, Y.; Liu, Y.; Liao, X.","Bai, Yu (57218629283); Liu, Yang (57211088012); Liao, Xiuwu (15065672500)","57218629283; 57211088012; 15065672500","Is data sharing consistently good with AI service? Impact of data sharing and service strategies in competitive channels","2025","Transportation Research Part E: Logistics and Transportation Review","204","","104383","","","0","0","10.1016/j.tre.2025.104383","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017851669&doi=10.1016%2Fj.tre.2025.104383&partnerID=40&md5=8833212854603d50be264839035ef5a4","AI services based on data sharing have recently become essential for online platforms and retailers. This study examines an online platform that offers AI services to itself and its associated retailer, which competes by offering substitute products. The retailer can share data with the platform or develop alternative service channels. Our research explores the dynamic interaction between the platform's decision to offer AI services, the retailer's data-sharing choices, and service channel selection. Our findings reveal that data sharing can significantly enhance AI service quality and boost market demand for the platform's AI service. However, it also creates a power imbalance between platforms and retailers. For platforms, gaining access to retailer data enhances service quality, increases demand, and boosts revenue. For retailers, data sharing creates a Synergy Effect that improves both price and demand and finally increases revenue. However, data sharing is not always beneficial, as the Synergy Effect may be inefficient or diminished because of the Triple Squeeze Effect, ultimately resulting in profit losses. We also analyze the role of data processing capability and find that increasing capability does not always lead to improved outcomes, particularly when high costs burden the platform. Our results indicate that choosing the platform's service is usually more beneficial for the retailer due to the Synergy Effect, while the platform's service provision strategy needs to be cautious. Our study provides valuable managerial insights, suggesting that both platforms and retailers must carefully evaluate the cost-benefit trade-offs associated with data sharing and data processing investments to ensure profitability and sustainable growth. © 2025 Elsevier B.V., All rights reserved.","AI service provision; Channel competition; Data sharing; Online platforms; Pricing strategy","Commerce; Competition; Cost benefit analysis; Data quality; Data Sharing; Investments; Profitability; Quality of service; Sales; AI service provision; Channel competitions; Data services; Online platforms; Pricing strategy; Service channels; Service provisions; Service Quality; Synergy effect; Economic and social effects; artificial intelligence; data set; price dynamics; service sector; strategic approach","","English","Article","Final","","Scopus","2-s2.0-105017851669"
"Ghaffari, A.; Afsharian, M.; Taleizadeh, A.A.","Ghaffari, Amirsalar (60025309700); Afsharian, Mohsen (16068253300); Taleizadeh, A. A. (55386682400)","60025309700; 16068253300; 55386682400","A machine learning approach to dynamic pricing in multi-channel transportation supply chains","2025","Supply Chain Analytics","11","","100151","","","0","0","10.1016/j.sca.2025.100151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012280947&doi=10.1016%2Fj.sca.2025.100151&partnerID=40&md5=859d79a2979b49777cb3dbe92e816182","Effective pricing strategies are critical for optimizing revenue and maintaining competitiveness in transportation supply chains, particularly in multi-channel environments. This paper presents a machine learning-driven dynamic pricing approach designed to optimize ticket prices across multiple transportation modes, service classes, and sales channels. In particular, the proposed approach integrates predictive analytics and optimization techniques to estimate customer demand, price sensitivity, and revenue potential while accounting for operational constraints such as capacity limits and market share requirements. Machine learning enables the optimization model to dynamically adjust pricing strategies based on historical demand patterns and real-time market fluctuations. To demonstrate its applicability, the approach is applied in a case study in the transportation sector, illustrating its role in optimizing pricing decisions. Additionally, sensitivity analysis highlights the model's robustness against capacity changes, demand fluctuations, and pricing constraints. The findings emphasize the role of supply chain analytics in enhancing pricing strategies, making them more adaptive, data-driven, and resilient to market dynamics. © 2025 Elsevier B.V., All rights reserved.","Dynamic pricing; Machine learning; Multi-channel supply chain; Revenue optimization; Supply chain resiliency; Transportation analytics","","","English","Article","Final","","Scopus","2-s2.0-105012280947"
"Lou, S.; Liang, S.; Jin, A.; Liang, Z.; Yang, L.; Fu, J.","Lou, Shang (60076747500); Liang, Shun (60076747600); Jin, Aitong (59134227400); Liang, Zhiying (59296945000); Yang, Lanzhu (60077542900); Fu, Jun (35200778300)","60076747500; 60076747600; 59134227400; 59296945000; 60077542900; 35200778300","Genetic Algorithm-Optimized Regression Tree for Automatic Pricing and Replenishment of Vegetable Products","2025","","","","","187","193","0","0","10.1145/3745133.3745165","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014523032&doi=10.1145%2F3745133.3745165&partnerID=40&md5=a9172bd574449c58f112c2c13c121994","In fresh food supermarkets, vegetable products require efficient replenishment and pricing decisions due to their limited shelf life and quality fluctuations. This paper aims to reveal the sales patterns of vegetables, predict demand and pricing for the upcoming week, and propose replenishment and pricing strategies for individual products. First, the sales data are cleaned and preprocessed, with key factors extracted through feature engineering. Pearson correlation analysis and heatmaps are used to study the relationships between 30 factors, vegetable categories, and total sales. A regression decision tree model (evaluated based on R2) is built to establish the sales-profit relationship regarding sales volume and cost-plus pricing. To maximize revenue, the ARIMA time series model (50 simulated averages) is used to predict the sales and wholesale price for the next 7 days, and genetic algorithms are applied to optimize parameters. Finally, a linear programming model is employed to determine the optimal replenishment quantity and pricing strategy, thus maximizing the supermarket's total revenue. © 2025 Elsevier B.V., All rights reserved.","Automatic pricing; Correlation coefficient; Genetic algorithm; Replenishment decision; Time series analysis","Artificial intelligence; Correlation methods; Costs; Linear programming; Regression analysis; Replenishment (water resources); Retail stores; Sales; Vegetables; Automatic pricing; Correlation coefficient; Fresh food; Pricing decision; Pricing strategy; Regression trees; Replenishment decision; Shelf life; Time-series analysis; Vegetable products; Genetic algorithms; Time series analysis","","English","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105014523032"
"Xu, R.","Xu, Rigan (60077171000)","60077171000","High-Dimensional Spatiotemporal Dependencies and Behavioral Heterogeneity Co-Modeling: LSTM-Multi-Factor Penetrative Analysis and Risk Premium Decomposition of the Reversal Effect in China’s A-Share Market","2025","","","","","66","71","0","0","10.1145/3746972.3746984","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014522183&doi=10.1145%2F3746972.3746984&partnerID=40&md5=0b43b7f6be8c1e0a1b9341aef6399fec","China’s A-share market, with its unique retail-dominated investor base and policy-driven ecosystem, serves as a compelling laboratory for testing market anomalies. This study investigates the efficacy and mechanisms of momentum and reversal effects in this emerging-market context, uncovering how behavioral forces dynamically shape price patterns under structural inefficiencies. Building on monthly data spanning January 2014 to January 2024, we systematically evaluate strategy performance through winner-loser portfolio construction across formation periods (1, 3, 6, 12 months), employing long-short tactics, risk-neutralizing techniques (CAPM and Fama-French three-factor models), and an LSTM deep learning framework. Key findings reveal reversal strategies’ striking dominance over momentum approaches mainly during an economic recession, with win rates consistently hovering at 50%-60% in both economic expansion and recession and peaking with an average of 61.95% in 3-month formation windows—evidence of retail-driven overreaction followed by swift price correction. Our novel LSTM model, integrating implied volatility (IV), turnover, market capitalization, and technical indicators, achieved 81.3% prediction accuracy in out-of-sample tests, with the relative strength index (RSI) emerging as the most influential predictor. By bridging multifactor risk adjustment with nonlinear machine learning, this research marks a breakthrough in quant methodology, offering practitioners a robust toolkit to navigate China’s sentiment-fueled volatility while advancing behavioral theory in nonlinear markets. This study also redefines emerging-market asset pricing paradigms through theoretical and technological breakthroughs. Theoretically, it pioneers a dynamic pricing model that captures the interplay between institutional frictions and behavioral biases, particularly during policy-sensitive windows and sentiment extremes—a critical advance beyond traditional frameworks’ inability to decode the “policy-sentiment feedback loop.” Practically, the novel LSTM-multifactor framework offers modular applications: its real-time tracking of RSI and implied volatility (IV) thresholds could power next-gen robo-advisors, while its sector rotation analytics might optimize multi-asset funds’ tactical pivots. For regulators, the research unveils a stealth weapon: by mapping cointegration between reversal anomalies and manipulative trading patterns, it equips watchdogs with precision tools to flag suspicious activity—a leap forward for China’s ambitions in penetrative, AI-augmented market surveillance. © 2025 Elsevier B.V., All rights reserved.","China’s A-Share Market; LSTM Modeling; Reversal Effects","Behavioral research; Commerce; Competition; Costs; Economic analysis; Financial markets; Forecasting; Investments; Learning systems; Market Research; Momentum; Sales; China’s A-share market; Economic Recession; Emerging markets; High-dimensional; Implied volatility; LSTM modeling; Multi-factor; Relative strength index; Reversal effect; Share market; Long short-term memory","","English","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105014522183"
"Liu, Q.; Song, Y.","Liu, Quan (60080515900); Song, Yunkui (60080516000)","60080515900; 60080516000","Pricing Strategy Optimization by Machine Learning in E-commerce","2025","","","","","760","765","0","0","10.1145/3745238.3745358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014755693&doi=10.1145%2F3745238.3745358&partnerID=40&md5=0e129256a44f07ba820dc1e5926cf6db","This paper introduces the concept of pricing strategy and its importance in e-commerce, analyzes the limitations of traditional pricing methods. Subsequently, the article elaborates on the application of machine learning in E-commerce pricing strategies. In addition, the article also presents the key technologies for optimizing pricing strategies using machine learning. Finally, it looks forward to the development trend of future pricing systems. © 2025 Elsevier B.V., All rights reserved.","E-commerce; Machine learning; Pricing strategy","Artificial intelligence; Costs; Information management; Learning systems; Marketplaces; Optimization; Development trends; E-commerce analysis; Key technologies; Look-forward; Machine-learning; Pricing methods; Pricing strategy; Pricing systems; Strategy optimization; Electronic commerce","","English","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105014755693"
"Li, J.; Chen, B.","Li, Jiancai (57219364804); Chen, Biaoxin (57200014476)","57219364804; 57200014476","A Deep Q-Learning Optimization Framework for Dynamic Pricing in E-Commerce","2025","","","","","367","371","0","0","10.1145/3729706.3729764","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012242586&doi=10.1145%2F3729706.3729764&partnerID=40&md5=937cf29d3d23a94e62d67ca73183f97f","A Regarding the research on dynamic pricing optimization of e-commerce, traditional pricing methods are too poorly adaptable and not flexible enough when dealing with rapidly changing markets and user behaviors. To solve this problem, we proposed a dynamic pricing model based on deep Q learning. The core of this model is to use reinforcement learning to simulate the interaction between intelligent agents and the market, and learn the optimal pricing strategy through continuous trial and error. The model input includes multi-dimensional data such as market demand, user behavior, and inventory levels. Deep neural networks are used to approximate the state-action value function to achieve intelligent optimization of pricing. We conducted experiments on actual transaction data of a Chinese e-commerce platform, and the results are very obvious: in the three scenarios of stable transaction period, promotion peak period, and inventory backlog period, profits increased by 12.8% to 18.4%, user conversion rate increased by 8.5% to 12.7%, and inventory turnover rate was optimized by 15.2% to 23%, which are significantly better than traditional rule-based pricing methods. This model can dynamically adjust prices in real time according to market changes, while taking into account profitability and user experience. The main innovation of this work is to introduce deep Q learning into the e-commerce pricing problem and verify its effectiveness in a complex and high-dimensional market environment. This provides a new method for intelligent pricing in e-commerce and also opens up a new path for the application of reinforcement learning in commercial scenarios. © 2025 Elsevier B.V., All rights reserved.","Deep Q-Learning; Dynamic Pricing; E-commerce; Pricing Optimization; Reinforcement Learning","Behavioral research; Costs; Deep neural networks; Deep reinforcement learning; Intelligent agents; Market Research; Optimization; Profitability; User experience; Deep Q-learning; Dynamic pricing; E- commerces; Learning optimizations; Optimisations; Pricing methods; Pricing optimization; Q-learning; Reinforcement learnings; User behaviors; Electronic commerce","","English","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105012242586"
"Liu, E.; Yang, Y.","Liu, Erjie (59934116400); Yang, Yuxuan (59934475000)","59934116400; 59934475000","Quantitative Analysis of Price Elasticity in E-commerce Using Machine Learning: A Case Study of JD.com Transaction-Level Data","2025","","","","","314","319","0","0","10.1145/3724154.3724206","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007540482&doi=10.1145%2F3724154.3724206&partnerID=40&md5=e9dbeaf154e443afe765ba45b4d3819c","With the rapid development of e-commerce, it is increasingly important to understand consumer decisions and make forward-looking product management strategies according to those behaviors. Based on the 2020 MSOM Data-driven Research Challenge, this study uses JD.com’s transaction-level product data in March 2018 to compare and explore the differences in the effectiveness of multiple machine learning models in predicting product price elasticity, as well as identifying the core factors that might affect. The models include Linear regression, Ridge regression, Decision Tree, and Random Forest. Meanwhile, the parameter tuning strategy of Random Search is also adopted to optimize the model performance and generalization ability. The final results show that the Ridge regression model shows excellent prediction accuracy and stability, with the lowest Mean Square Error of 0.2685 on the test set. This indicates that the model effectively solves the multicollinearity problem between features and avoids the overfitting problem. In addition, the research identifies the decisive factors affecting commodity price elasticity as the customer’s purchase channel, product’s functional attributes, and the type of merchant to which the commodity belongs. The conclusions drawn in this study are robust and pragmatic, providing valuable insights for merchants to formulate reasonable pricing strategies to promote consumption. © 2025 Elsevier B.V., All rights reserved.","Machine learning models; Price elasticity; Product characteristics; Regression coefficient analysis","Multiple linear regression; Product development; Sales; Strategic planning; Case-studies; E- commerces; Machine learning models; Machine-learning; Price-elasticity; Product characteristics; Regression coefficient; Regression coefficient analyze; Ridge regression; Transaction level; Polynomial regression","","English","Conference paper","Final","","Scopus","2-s2.0-105007540482"
"Han, Y.; Huang, Z.; Xu, Y.","Han, Yiyou (59935972800); Huang, Ziheng (59141422000); Xu, Yihong (59936365300)","59935972800; 59141422000; 59936365300","Optimizing Vegetable Pricing and Replenishment Decisions Using Hybrid Machine Learning Models","2025","","","","","770","774","0","0","10.1145/3718751.3718877","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007598854&doi=10.1145%2F3718751.3718877&partnerID=40&md5=26151f8c97d3885ca7ec3a3786af6d68","In the modern business environment, the automatic pricing and replenishment decision of vegetable commodities has become the core to ensure the smooth supply chain and the profit of merchants. This study combined ARIMA, particle swarm optimization (PSO), linear regression and genetic algorithm to propose and implement an automatic pricing and replenishment strategy based on a mixed machine learning model and a large number of historical sale data. The average R2 of different categories of vegetables was 0.992, indicating a high accuracy of the model. At the same time, it provided a pricing and purchase strategy for vegetables for merchants. © 2025 Elsevier B.V., All rights reserved.","ARIMA; Genetic Algorithm; Linear Regression; PSO; Replenishment","ARIMA; Business environments; Hybrid machine learning; Machine learning models; Particle swarm; Particle swarm optimization; Pricing strategy; Replenishment; Replenishment strategies; Swarm optimization; Linear regression","","English","Conference paper","Final","","Scopus","2-s2.0-105007598854"
"Jiang, Z.; Li, J.; Zhang, D.","Jiang, Zhaohui (57226607142); Li, Jun (56370104500); Zhang, Dennis J. (57194081165)","57226607142; 56370104500; 57194081165","A High-Dimensional Choice Model for Online Retailing","2025","Management Science","71","4","","3320","3339","0","1","10.1287/mnsc.2020.02715","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003029000&doi=10.1287%2Fmnsc.2020.02715&partnerID=40&md5=0a38d88ba11ba52dd20f6d7f11116bee","Online retailers are facing an increasing variety of product choices and diversified consumer decision journeys. To improve many operations decisions for online retailers, such as demand forecasting and inventory management and pricing, an important first step is to obtain an accurate estimate of the substitution patterns among a large number of products offered in the complex online environment. Classic choice models either do not account for these substitution patterns beyond what is reflected through observed product features or do so in a simplified way by making a priori assumptions. These shortcomings become particularly restrictive when the underlying substitution patterns get complex as the number of options increases. We provide a solution by developing a high-dimensional choice model that allows for flexible substitution patterns and easily scales up. We leverage consumer clickstream data and combine econometric and machine learning (graphical lasso, in particular) methods to learn the substitution patterns among a large number of products. We show our method offers more accurate demand forecasts in a wide range of synthetic scenarios when compared with classical models (e.g., the independent and identically distributed Probit model), reducing out-of-sample mean absolute percentage error by 10%–30%. Such performance improvement is further supported by observations from a real-world empirical setting. More importantly, our method excels in precisely recovering substitution patterns across products. Compared with benchmark models, it reduces the percentage deviation from the underlying elasticity matrix by approximately half. This precision serves as a critical input for enhancing business decisions such as assortment planning, inventory management, and pricing strategies. © 2025 Elsevier B.V., All rights reserved.","choice model; clickstream data; high-dimensional; machine learning; retail management","Inventory control; Choice model; Clickstream data; High-dimensional; Higher-dimensional; Inventory management; Machine-learning; Online retailing; Product choice; Retail management; Substitution patterns; Sales","","English","Article","Final","","Scopus","2-s2.0-105003029000"
"Wang, Q.; Hu, S.; Zha, X.","Wang, Qingxiao (56081647900); Hu, Shanfeng (59729492900); Zha, Xiaoyu (57226681800)","56081647900; 59729492900; 57226681800","Machine Learning Study on Cross-border E-commerce Products Price Prediction: Evidence from Platform of Lazada","2025","","","","","761","767","0","0","10.1145/3716895.3717029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002219173&doi=10.1145%2F3716895.3717029&partnerID=40&md5=1a96a77b1e145d4c1814d8865f1ba019","In the wave of increasingly digital and globalized trade activities, cross-border e-commerce (CBEC) has emerged as an indispensable trade form, and CBEC platforms have grown rapidly in this process and become a key force to promote consumption levels. Product pricing is widely considered to be one of the key determinants of the development of the CBEC industry. Therefore, CBEC platforms enable many platform merchants to flourish through unique pricing strategies. A comprehensive understanding of these pricing strategies is essential for exploring the nature of innovative business models. Taking Lazada, a leading CBEC platform in Southeast Asia, as an example, this paper analyzes the commodity information data set of electronic products as of November 8,2024, and develops a multi-factor price prediction model by using natural language processing and machine learning technology. The study used three different prediction methods: linear regression, random forest and XGBoost. By comparing the prediction performance of the three methods, the random forest method has the strongest prediction ability. In addition, the random forest model is used for attribution analysis to help platform merchants formulate appropriate prices. © 2025 Elsevier B.V., All rights reserved.","Cross-border E-commerce Platform; Electronic Products; Machine Learning; Price Expectation","Adversarial machine learning; Decision trees; Electronic commerce; Electronic trading; Marketplaces; Prediction models; Random forests; Commerce platforms; Cross-border; Cross-border E-commerce platform; E- commerces; Electronics products; Learning studies; Machine-learning; Price expectation; Pricing strategy; Product price; Costs","","English","Conference paper","Final","","Scopus","2-s2.0-105002219173"
